occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
31749;Skeppsklarerareänka;Widow, shipping agent;SW;SW;0;SE;sv;23469;11;0;0;0;19990;2;SHD
31750;Skeppsklareringsbiträde;Clerk, shipping;SW;SW;0;SE;sv;23470;0;0;0;0;30000;1;SHD
31751;Skeppsklareringsklerk;Clerk, shipping;SW;SW;0;SE;sv;23471;0;0;0;0;30000;1;SHD
31752;Skeppsklerk;Clerk, shipping;SW;SW;0;SE;sv;23472;0;0;0;0;30000;1;SHD
31753;Skeppsmäklare;Shipbroker;SW;SW;0;SE;sv;23473;0;0;0;0;44190;1;SHD
31754;Skeppsmäklareänka;Widow, shipbroker;SW;SW;0;SE;sv;23474;11;0;0;0;44190;2;SHD
31755;Skeppsmäkleribokhållare;Bookkeeper, shipping;SW;SW;0;SE;sv;23475;0;0;0;0;33110;1;SHD
31756;Skeppsmäkleribokhållarehustru;Wife, bookkeeper, shipping;SW;SW;0;SE;sv;23476;11;0;0;0;33110;2;SHD
31757;Skeppsmäklerikontrollör;Inspector, maritime;SW;SW;0;SE;sv;23477;0;0;0;0;22690;1;SHD
31758;Skeppsmålare;Ships painter;SW;SW;0;SE;sv;23478;0;0;0;0;93130;1;SHD
31759;Skeppsman;Ship´s man;SW;SW;0;SE;sv;23479;0;0;0;0;99999;1;SHD
31760;Skeppsmätare;Surveyor of tonnage;SW;SW;0;SE;sv;23480;0;0;0;0;22290;1;SHD
31761;Skeppsmätarkontrollör;Inspector, maritime;SW;SW;0;SE;sv;23481;0;0;0;0;22690;1;SHD
31762;Skeppsombudsman;Ombudsman, shipping;SW;SW;0;SE;sv;23482;0;0;0;0;20210;1;SHD
31763;Skeppsredare;Shipowner;SW;SW;0;SE;sv;23483;0;0;0;0;21110;1;SHD
31764;Skeppsredareänka;Widow, shipowner;SW;SW;0;SE;sv;23484;11;0;0;0;21110;2;SHD
31765;Skeppsstädare;Cleaner, on ship;SW;SW;0;SE;sv;23485;0;0;0;0;55220;1;SHD
31766;Skeppsstuvare;Stevedore;SW;SW;0;SE;sv;23486;0;0;0;0;97120;1;SHD
31767;Skeppsstuvareänka;Widow, stevedore;SW;SW;0;SE;sv;23487;11;0;0;0;97120;2;SHD
31768;Skeppsstuveriarbetare;Stevedore;SW;SW;0;SE;sv;23488;0;0;0;0;97120;1;SHD
31769;Skeppsstuveribiträde;Stevedore;SW;SW;0;SE;sv;23489;0;0;0;0;97120;1;SHD
31770;Skeppsstuveriförman;Stevedore;SW;SW;0;SE;sv;23490;0;0;0;0;97120;1;SHD
31771;Skeppstimmerman;Carpenter, on ship;SW;SW;0;SE;sv;23491;0;31;0;0;95455;1;SHD
31772;Skeppstimmermansänka;Widow, carpenter, ships;SW;SW;0;SE;sv;23492;11;31;0;0;95455;2;SHD
31773;Skeppstimmermanshustru;Wife, carpenter, ships;SW;SW;0;SE;sv;23493;11;31;0;0;95455;2;SHD
31774;Skeppstuvareänka;Widow, stevedore;SW;SW;0;SE;sv;23494;11;0;0;0;97120;2;SHD
31776;Skidarbetare;Ski maker;SW;SW;0;SE;sv;23495;0;38;0;0;81990;1;SHD
31777;Skidfabrikant;Production manager, ski-factory;SW;SW;0;SE;sv;23496;0;38;0;0;21220;1;SHD
31778;Skidfabrikör;Production manager, ski-factory;SW;SW;0;SE;sv;23497;0;38;0;0;21220;1;SHD
31779;Skidfabriksarbetare;Ski-factory worker;SW;SW;0;SE;sv;23498;0;38;0;0;99930;1;SHD
31780;Skinnare;Tanner, fur skins;SW;SW;0;SE;sv;23499;0;29;0;0;76145;1;SHD
31781;Skinnfärgare;Tanner, dyer;SW;SW;0;SE;sv;23500;0;29;0;0;76155;1;SHD
31782;Skinnsömmerska;Leather sewer;SW;SW;0;SE;sv;23501;0;29;0;0;79540;1;SHD
31783;Skjortfabrikör;Production manager, shirt-factory;SW;SW;0;SE;sv;23502;0;27;0;0;21220;1;SHD
31784;Skjortfabriksarbetare;Shirt-factory worker;SW;SW;0;SE;sv;23503;0;27;0;0;99930;1;SHD
31785;Skjortsömmerska;Sewer, shirts;SW;SW;0;SE;sv;23504;0;27;0;0;79510;1;SHD
31786;Skjutbaneägare;Owner, shooting range;SW;SW;0;SE;sv;23505;0;0;0;0;51090;1;SHD
31787;Skjutbanebiträde;Entertainment attendant, shooting-range;SW;SW;0;SE;sv;23506;0;0;0;0;59990;1;SHD
31788;Skjutbaneförestånderska;Shooting range manager;SW;SW;0;SE;sv;23507;0;0;0;0;21490;1;SHD
31789;Skjutbaneinnehavare;Owner, shooting range;SW;SW;0;SE;sv;23508;0;0;0;0;51090;1;SHD
31790;Skjutbaneinnehaverska;Owner, shooting range;SW;SW;0;SE;sv;23509;0;0;0;0;51090;1;SHD
